,BRANCH,ADDRESS,CITY,ZIP,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,YTD,LOCATION,Type,Year
93,Manning,6 S. Hoyne Ave.,Chicago,60612,7161,6683,0,0,0,0,0,0,0,0,0,0,13844,POINT (-87.679091 41.881026),Visitors,2020
94,Portage-Cragin,5108 W. Belmont Ave.,Chicago,60641,5365,5073,6851,0,0,1662,2497,3058,3013,3049,2182,2357,35107,POINT (-87.754875 41.938748),Visitors,2020
95,Woodson Regional Library,9525 S. Halsted St.,Chicago,60628,16492,16461,14015,0,0,2238,4817,5088,5260,5900,4322,3773,78366,POINT (-87.643122 41.72067400000001),Visitors,2020
96,Greater Grand Crossing,1000 E. 73rd St.,Chicago,60619,4210,3399,2046,0,0,673,1085,1150,1280,1521,1128,1043,17535,POINT (-87.600377 41.762277),Visitors,2020
97,Scottsdale,4101 W. 79th St.,Chicago,60652,3190,3210,2501,0,0,1742,2531,2536,2210,2710,1835,1935,24400,POINT (-87.724291 41.749388),Visitors,2020
98,Altgeld,13281 S. Corliss Ave.,Chicago,60827,2730,1809,1127,0,0,0,0,0,0,0,0,0,5666,POINT (-87.602139 41.653968),Visitors,2020
99,West Loop,122 N. Aberdeen St.,Chicago,60607,7440,6686,3575,0,0,2387,3372,3462,2902,3051,2424,2568,37867,POINT (-87.654421 41.883595),Visitors,2020
100,Back of the Yards,2111 W. 47th St.,Chicago,60609,3226,3246,1848,0,0,1643,1652,1810,1820,1870,1503,1398,20016,POINT (-87.677601 41.808523),Visitors,2020
101,Rogers Park,6907 N. Clark St.,Chicago,60626,11997,11407,6878,0,0,4655,7428,7724,9067,8118,3129,5314,75717,POINT (-87.67344 42.006673),Visitors,2020
102,Garfield Ridge,6348 S. Archer Ave.,Chicago,60638,5282,4928,3215,0,0,2448,2899,2941,2865,2957,2413,2337,32285,POINT (-87.780098 41.792854),Visitors,2020
