,ADDRESS,CITY,ZIP,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,YTD,TYPE,YEAR,LAT,LNG
221,6120 S. Kedzie Ave.,Chicago,60629,2161.0,2506.0,1774.0,0.0,1.0,854.0,1321.0,1641.0,1278.0,1163.0,1271.0,1110.0,15080.0,Circulation,2020,41.777061,-87.711565
222,400 S. State Street,Chicago,60605,48585.0,42078.0,31090.0,275.0,245.0,16445.0,22446.0,23210.0,24061.0,24382.0,23071.0,20990.0,276878.0,Circulation,2020,41.867824,-87.623449
223,4314 S. Archer Ave.,Chicago,60632,3047.0,2830.0,2327.0,0.0,0.0,881.0,1610.0,1969.0,1859.0,1914.0,1373.0,1237.0,19047.0,Circulation,2020,41.810038,-87.711251
224,4856 W. Chicago Ave.,Chicago,60651,703.0,713.0,412.0,0.0,0.0,207.0,345.0,284.0,298.0,338.0,236.0,138.0,3674.0,Circulation,2020,41.901964,-87.741017
225,2311 S. Kedzie Ave.,Chicago,60623,2862.0,2444.0,1659.0,0.0,0.0,855.0,1144.0,1347.0,1602.0,1445.0,1132.0,1136.0,15626.0,Circulation,2020,41.850321,-87.717446
226,1659 W. Melrose St.,Chicago,60657,14013.0,13412.0,9198.0,0.0,12.0,7628.0,10263.0,9744.0,10462.0,11492.0,9859.0,9305.0,105388.0,Circulation,2020,41.939715,-87.658216
227,2807 W. 55th St.,Chicago,60632,1254.0,1233.0,727.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3214.0,Circulation,2020,41.810038,-87.711251
228,6800 N. Western Ave.,Chicago,60645,10481.0,9613.0,7569.0,19.0,0.0,6868.0,10675.0,10285.0,9867.0,10236.0,9692.0,9492.0,94797.0,Circulation,2020,42.008927,-87.695049
229,7455 W. Cornelia Ave.,Chicago,60634,3769.0,3407.0,3017.0,0.0,0.0,2675.0,3465.0,3218.0,2786.0,2978.0,2817.0,2368.0,30500.0,Circulation,2020,41.944967,-87.797373
230,1226 W. Ainslie St.,Chicago,60640,8134.0,7405.0,5063.0,1.0,0.0,4028.0,6402.0,6339.0,6441.0,6726.0,5794.0,4218.0,60551.0,Circulation,2020,41.971888,-87.662232
231,122 N. Aberdeen St.,Chicago,60607,5153.0,4618.0,2853.0,0.0,0.0,2238.0,3442.0,3858.0,3322.0,4115.0,3678.0,3434.0,36711.0,Circulation,2020,41.876104,-87.652727
232,11001 S. Indiana Ave.,Chicago,60628,840.0,716.0,551.0,0.0,0.0,204.0,375.0,249.0,16.0,0.0,222.0,195.0,3368.0,Circulation,2020,41.694192,-87.621537
233,2401 E. 100th St.,Chicago,60617,662.0,500.0,482.0,0.0,0.0,278.0,454.0,381.0,373.0,393.0,277.0,291.0,4091.0,Circulation,2020,41.721257,-87.556897
234,4801 S. Michigan Ave.,Chicago,60615,1249.0,1108.0,990.0,0.0,0.0,749.0,945.0,823.0,903.0,868.0,70.0,0.0,7705.0,Circulation,2020,41.801993,-87.602725
235,11010 S. Kedzie Ave.,Chicago,60655,4603.0,3804.0,3015.0,0.0,0.0,2467.0,3297.0,3308.0,3425.0,3364.0,3317.0,2807.0,33407.0,Circulation,2020,41.696456,-87.701434
236,731 E. 63rd St.,Chicago,60637,1747.0,1750.0,1032.0,0.0,0.0,727.0,923.0,1061.0,1015.0,888.0,798.0,836.0,10777.0,Circulation,2020,41.780991,-87.604053
237,6100 W. Irving Park Rd.,Chicago,60634,7877.0,7175.0,4749.0,0.0,0.0,4077.0,6122.0,5898.0,6365.0,5869.0,4495.0,4077.0,56704.0,Circulation,2020,41.944967,-87.797373
238,9525 S. Halsted St.,Chicago,60628,4587.0,4162.0,3034.0,0.0,10.0,1292.0,2022.0,2011.0,2187.0,2387.0,1802.0,1779.0,25273.0,Circulation,2020,41.694192,-87.621537
239,7506 S. Racine Ave.,Chicago,60620,1485.0,1471.0,872.0,0.0,0.0,480.0,804.0,807.0,1008.0,1054.0,815.0,777.0,9573.0,Circulation,2020,41.740873,-87.651656
240,3647 S. State St.,Chicago,60609,749.0,728.0,537.0,0.0,0.0,384.0,594.0,588.0,750.0,657.0,498.0,550.0,6035.0,Circulation,2020,41.812017,-87.653382
241,3710 E. 106th St.,Chicago,60617,986.0,2091.0,1792.0,0.0,0.0,713.0,1343.0,1454.0,1246.0,1356.0,1578.0,1126.0,13685.0,Circulation,2020,41.721257,-87.556897
242,5440 S. Racine Ave.,Chicago,60609,411.0,521.0,373.0,0.0,0.0,117.0,202.0,223.0,209.0,129.0,302.0,188.0,2675.0,Circulation,2020,41.812017,-87.653382
544,,,60601,,,24.0,30.0,14.0,19.0,27.0,44.0,52.0,112.0,292.0,145.0,759.0,Cases,2020,41.886262,-87.622844
545,,,60602,,,0.0,2.0,8.0,2.0,4.0,2.0,2.0,12.0,24.0,11.0,67.0,Cases,2020,41.883136,-87.628309
546,,,60603,,,0.0,0.0,2.0,0.0,3.0,3.0,2.0,5.0,21.0,9.0,45.0,Cases,2020,41.880112,-87.625473
547,,,60604,,,0.0,7.0,11.0,2.0,0.0,6.0,0.0,11.0,32.0,5.0,74.0,Cases,2020,41.878153,-87.629029
548,,,60605,,,49.0,83.0,58.0,40.0,57.0,69.0,55.0,222.0,542.0,234.0,1409.0,Cases,2020,41.867824,-87.623449
549,,,60606,,,1.0,12.0,10.0,6.0,13.0,19.0,10.0,33.0,73.0,40.0,217.0,Cases,2020,41.882634,-87.63676
550,,,60607,,,77.0,307.0,58.0,43.0,57.0,110.0,105.0,293.0,607.0,276.0,1933.0,Cases,2020,41.876104,-87.652727
551,,,60608,,,166.0,795.0,777.0,145.0,193.0,402.0,298.0,705.0,2161.0,843.0,6485.0,Cases,2020,41.849879,-87.670366
552,,,60609,,,112.0,750.0,881.0,157.0,207.0,312.0,223.0,621.0,1740.0,768.0,5771.0,Cases,2020,41.812017,-87.653382
553,,,60610,,,82.0,75.0,103.0,64.0,97.0,139.0,164.0,396.0,922.0,358.0,2400.0,Cases,2020,41.90455,-87.63581
554,,,60611,,,56.0,35.0,56.0,48.0,89.0,108.0,98.0,279.0,609.0,275.0,1653.0,Cases,2020,41.894734,-87.620291
555,,,60612,,,133.0,282.0,280.0,56.0,82.0,107.0,73.0,281.0,886.0,393.0,2573.0,Cases,2020,41.88004,-87.687011
556,,,60613,,,115.0,174.0,94.0,68.0,114.0,150.0,161.0,442.0,960.0,455.0,2733.0,Cases,2020,41.953742,-87.661343
557,,,60614,,,119.0,248.0,136.0,114.0,160.0,249.0,255.0,636.0,1456.0,600.0,3973.0,Cases,2020,41.922605,-87.652064
558,,,60615,,,97.0,145.0,122.0,54.0,105.0,82.0,49.0,178.0,571.0,266.0,1669.0,Cases,2020,41.801993,-87.602725
559,,,60616,,,98.0,173.0,169.0,66.0,99.0,151.0,110.0,375.0,917.0,603.0,2761.0,Cases,2020,41.844869,-87.629531
560,,,60617,,,207.0,404.0,501.0,158.0,376.0,385.0,257.0,733.0,2128.0,927.0,6076.0,Cases,2020,41.721257,-87.556897
561,,,60618,,,121.0,523.0,621.0,192.0,195.0,428.0,265.0,841.0,2067.0,1055.0,6308.0,Cases,2020,41.946699,-87.703343
562,,,60619,,,237.0,391.0,265.0,111.0,181.0,161.0,108.0,323.0,979.0,554.0,3310.0,Cases,2020,41.744737,-87.60569
563,,,60620,,,278.0,480.0,342.0,113.0,214.0,207.0,101.0,421.0,1152.0,614.0,3922.0,Cases,2020,41.740873,-87.651656
564,,,60621,,,90.0,251.0,200.0,48.0,71.0,81.0,51.0,144.0,499.0,267.0,1702.0,Cases,2020,41.776931,-87.638812
565,,,60622,,,100.0,281.0,255.0,98.0,140.0,189.0,195.0,552.0,1292.0,664.0,3766.0,Cases,2020,41.902762,-87.681818
566,,,60623,,,183.0,1530.0,1628.0,250.0,250.0,412.0,340.0,958.0,2479.0,1151.0,9181.0,Cases,2020,41.850321,-87.717446
567,,,60624,,,166.0,337.0,344.0,84.0,97.0,133.0,84.0,204.0,710.0,360.0,2519.0,Cases,2020,41.879417,-87.722735
568,,,60625,,,113.0,646.0,623.0,158.0,186.0,320.0,224.0,642.0,1502.0,924.0,5338.0,Cases,2020,41.971155,-87.701816
569,,,60626,,,80.0,550.0,439.0,97.0,112.0,108.0,95.0,320.0,955.0,520.0,3276.0,Cases,2020,42.009469,-87.669834
570,,,60628,,,238.0,514.0,321.0,126.0,201.0,218.0,118.0,428.0,1174.0,505.0,3843.0,Cases,2020,41.694192,-87.621537
571,,,60629,,,174.0,1391.0,1691.0,329.0,439.0,903.0,642.0,1792.0,4759.0,2030.0,14150.0,Cases,2020,41.777061,-87.711565
572,,,60630,,,84.0,346.0,365.0,78.0,97.0,247.0,169.0,580.0,1352.0,776.0,4094.0,Cases,2020,41.971261,-87.759611
573,,,60631,,,53.0,96.0,148.0,71.0,78.0,138.0,111.0,275.0,868.0,421.0,2259.0,Cases,2020,41.995019,-87.813371
574,,,60632,,,87.0,1421.0,1571.0,264.0,326.0,616.0,479.0,1415.0,3272.0,1630.0,11081.0,Cases,2020,41.810038,-87.711251
575,,,60633,,,7.0,55.0,57.0,31.0,81.0,84.0,56.0,167.0,421.0,132.0,1091.0,Cases,2020,41.653147,-87.556037
576,,,60634,,,154.0,621.0,636.0,200.0,259.0,482.0,298.0,992.0,2661.0,1508.0,7811.0,Cases,2020,41.944967,-87.797373
577,,,60636,,,135.0,291.0,295.0,88.0,110.0,121.0,81.0,215.0,751.0,393.0,2480.0,Cases,2020,41.77599,-87.668597
578,,,60637,,,115.0,240.0,245.0,57.0,96.0,112.0,91.0,228.0,860.0,361.0,2405.0,Cases,2020,41.780991,-87.604053
579,,,60638,,,96.0,496.0,486.0,122.0,195.0,440.0,352.0,923.0,2179.0,957.0,6246.0,Cases,2020,41.787032,-87.771902
580,,,60639,,,157.0,1481.0,1613.0,338.0,350.0,535.0,371.0,1294.0,3671.0,1915.0,11725.0,Cases,2020,41.920609,-87.75531
581,,,60640,,,97.0,467.0,250.0,100.0,140.0,159.0,122.0,394.0,1008.0,673.0,3410.0,Cases,2020,41.971888,-87.662232
582,,,60641,,,88.0,655.0,737.0,167.0,216.0,384.0,320.0,903.0,2195.0,1227.0,6892.0,Cases,2020,41.946682,-87.746791
583,,,60642,,,23.0,69.0,61.0,62.0,56.0,77.0,65.0,237.0,537.0,237.0,1424.0,Cases,2020,41.899935,-87.657821
584,,,60643,,,195.0,341.0,184.0,86.0,190.0,159.0,104.0,451.0,1032.0,525.0,3267.0,Cases,2020,41.700445,-87.662381
585,,,60644,,,178.0,567.0,517.0,72.0,104.0,129.0,95.0,260.0,841.0,464.0,3227.0,Cases,2020,41.881113,-87.756863
586,,,60645,,,241.0,481.0,343.0,92.0,64.0,162.0,117.0,339.0,1044.0,715.0,3598.0,Cases,2020,42.008927,-87.695049
587,,,60646,,,40.0,193.0,135.0,31.0,38.0,106.0,70.0,239.0,699.0,360.0,1911.0,Cases,2020,41.993931,-87.761826
588,,,60647,,,89.0,614.0,643.0,193.0,240.0,356.0,253.0,891.0,2200.0,1158.0,6637.0,Cases,2020,41.921058,-87.701101
589,,,60649,,,146.0,442.0,232.0,64.0,126.0,104.0,61.0,230.0,708.0,392.0,2505.0,Cases,2020,41.762202,-87.571522
