,ADDRESS,CITY,ZIP,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,YTD,TYPE,YEAR
93,6 S. Hoyne Ave.,Chicago,60612,1730.0,1729.0,1758.0,1898.0,1716.0,1705.0,2130.0,2269.0,1877.0,2116.0,1800.0,1490.0,22218.0,Visitors,2019
94,4400 W. Lawrence Ave.,Chicago,60630,4283.0,3826.0,4475.0,3935.0,3606.0,4006.0,4444.0,4403.0,3873.0,4068.0,3270.0,2713.0,46902.0,Circulation,2019
95,4400 W. Lawrence Ave.,Chicago,60630,4283.0,3826.0,4475.0,3935.0,3606.0,4006.0,4444.0,4403.0,3873.0,4068.0,3270.0,2713.0,46902.0,Visitors,2019
96,1915 W. 35th St.,Chicago,60609,4477.0,4649.0,5101.0,5260.0,4593.0,4902.0,5079.0,5105.0,4969.0,5266.0,4521.0,3960.0,57882.0,Circulation,2019
97,1915 W. 35th St.,Chicago,60609,4477.0,4649.0,5101.0,5260.0,4593.0,4902.0,5079.0,5105.0,4969.0,5266.0,4521.0,3960.0,57882.0,Visitors,2019
98,644 W. Belmont Ave.,Chicago,60657,8053.0,6583.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14637.0,Circulation,2019
99,644 W. Belmont Ave.,Chicago,60657,8053.0,6583.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14637.0,Visitors,2019
100,11010 S. Kedzie Ave.,Chicago,60655,4301.0,4637.0,4949.0,4624.0,4788.0,5486.0,6275.0,5271.0,4309.0,4748.0,4179.0,3483.0,57050.0,Circulation,2019
101,11010 S. Kedzie Ave.,Chicago,60655,4301.0,4637.0,4949.0,4624.0,4788.0,5486.0,6275.0,5271.0,4309.0,4748.0,4179.0,3483.0,57050.0,Visitors,2019
102,310 W. Division St.,Chicago,60610,8232.0,7589.0,8325.0,8367.0,8600.0,8953.0,9921.0,9653.0,8051.0,9220.0,7965.0,7350.0,102226.0,Circulation,2019
