Date,Cases - Total,Deaths - Total,Hospitalizations - Total,Cases - Age 0-17,Cases - Age 18-29,Cases - Age 30-39,Cases - Age 40-49,Cases - Age 50-59,Cases - Age 60-69,Cases - Age 70-79,Cases -  Age 80+,Cases - Age Unknown,Cases - Female,Cases - Male,Cases - Unknown Gender,Cases - Latinx,Cases - Asian Non-Latinx,Cases - Black Non-Latinx,Cases - White Non-Latinx,Cases - Other Race Non-Latinx,Cases - Unknown Race/Ethnicity,Deaths - Age 0-17,Deaths - Age 18-29,Deaths - Age 30-39,Deaths - Age 40-49,Deaths - Age 50-59,Deaths - Age 60-69,Deaths - Age 70-79,Deaths - Age 80+,Deaths - Age Unknown,Deaths - Female,Deaths - Male,Deaths - Unknown Gender,Deaths - Latinx,Deaths - Asian Non-Latinx,Deaths - Black Non-Latinx,Deaths - White Non-Latinx,Deaths - Other Race Non-Latinx,Deaths - Unknown Race/Ethnicity,Hospitalizations - Age 0-17,Hospitalizations - Age 18-29,Hospitalizations - Age 30-39,Hospitalizations - Age 40-49,Hospitalizations - Age 50-59,Hospitalizations - Age 60-69,Hospitalizations - Age 70-79,Hospitalizations - Age 80+,Hospitalizations - Age Unknown,Hospitalizations - Female,Hospitalizations - Male,Hospitalizations - Unknown Gender,Hospitalizations - Latinx,Hospitalizations - Asian Non-Latinx,Hospitalizations - Black Non-Latinx,Hospitalizations - White Non-Latinx,Hospitalizations - Other Race Non-Latinx,Hospitalizations - Unknown Race/Ethnicity
5/13/2021,315,8,44,64,69,49,56,38,31,5,3,0,178,136,1,71,6,147,47,4,40,0,0,0,0,1,5,1,1,0,6,2,0,0,0,5,3,0,0,3,7,4,5,8,12,5,0,0,19,25,0,6,1,33,2,0,2
3/17/2020,96,1,24,0,15,21,18,17,19,2,4,0,37,59,0,9,2,39,41,3,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,3,1,2,5,7,3,3,0,7,17,0,4,0,16,4,0,0
5/6/2020,969,44,133,55,188,159,213,170,93,53,38,0,484,484,1,545,16,175,122,25,86,0,0,1,3,5,11,10,14,0,14,30,0,13,5,14,12,0,0,2,1,10,22,24,30,23,21,0,61,72,0,48,1,52,24,8,0
1/14/2022,3043,19,142,802,519,528,394,308,255,143,93,1,1618,1419,6,764,183,517,779,163,637,0,0,1,1,0,2,11,4,0,7,12,0,3,1,9,6,0,0,9,21,16,18,8,28,12,30,0,64,78,0,30,10,59,31,6,6
5/20/2020,771,29,94,58,210,132,138,107,72,36,18,0,404,361,6,389,6,178,85,21,92,0,1,1,1,6,10,4,6,0,7,22,0,15,3,7,4,0,0,3,8,4,8,14,22,20,15,0,48,46,0,36,1,41,11,2,3
9/24/2021,352,7,21,70,87,81,41,34,24,13,2,0,184,165,3,67,13,103,109,27,33,0,0,2,1,0,2,1,1,0,2,5,0,2,1,2,2,0,0,1,2,4,5,2,2,3,2,0,10,11,0,5,0,11,5,0,0
6/29/2020,279,7,31,22,89,55,36,40,17,9,11,0,137,140,2,114,4,67,63,7,24,0,0,0,0,0,2,2,3,0,4,3,0,3,0,2,2,0,0,1,4,3,4,5,7,1,6,0,12,19,0,14,0,11,5,0,1
11/13/2021,387,7,29,71,74,88,52,43,31,17,11,0,197,190,0,54,7,79,130,32,85,0,0,0,0,2,2,1,2,0,5,2,0,2,0,3,2,0,0,1,2,5,2,3,5,1,10,0,14,15,0,9,0,6,11,0,3
2/1/2021,608,9,41,79,150,114,95,89,43,22,16,0,318,289,1,233,18,108,167,27,55,0,0,0,0,1,5,0,3,0,7,2,0,3,0,4,2,0,0,1,2,3,3,6,11,9,6,0,21,20,0,12,0,17,9,2,1
12/22/2020,1338,17,83,178,301,250,195,163,151,64,36,0,694,641,3,518,59,235,323,64,139,0,0,0,1,2,2,8,4,0,7,10,0,2,3,8,4,0,0,0,4,7,7,11,16,21,17,0,42,41,0,25,1,39,14,3,1
1/6/2022,5845,36,228,996,1266,1116,817,729,494,243,180,4,3117,2683,45,1319,262,1079,1335,395,1455,0,1,0,2,8,5,8,12,0,21,15,0,7,2,18,9,0,0,8,20,15,22,33,44,38,48,0,129,99,0,44,6,111,56,2,9
5/7/2021,365,11,35,68,91,69,63,41,17,9,7,0,194,171,0,106,13,138,55,8,45,0,0,0,2,1,4,2,2,0,4,7,0,2,0,8,1,0,0,1,2,5,3,9,4,4,7,0,21,14,0,5,1,19,10,0,0
9/24/2020,408,5,21,51,122,87,61,44,28,9,6,0,199,208,1,185,7,40,135,8,33,0,0,0,1,1,1,1,1,0,2,3,0,4,0,1,0,0,0,0,0,2,4,5,6,4,0,0,8,13,0,6,0,7,6,2,0
5/19/2020,889,27,99,78,211,170,148,130,85,39,28,0,450,434,5,484,16,163,91,31,104,0,1,1,3,6,5,6,5,0,8,19,0,11,2,11,3,0,0,5,4,13,15,20,17,14,11,0,51,48,0,46,2,33,12,3,3
6/26/2021,20,0,4,3,4,8,3,0,2,0,0,0,11,9,0,6,2,5,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,3,1,0,2,0,2,0,0,0
10/23/2021,223,2,18,37,40,58,24,28,21,7,8,0,110,113,0,40,7,59,84,15,18,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,2,0,0,0,0,2,3,4,4,3,2,0,9,9,0,4,0,6,5,1,2
3/13/2020,32,0,8,0,4,13,5,5,5,0,0,0,8,24,0,4,2,5,19,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,2,0,0,3,5,0,1,0,3,4,0,0
12/24/2021,3708,16,181,620,903,773,576,442,231,102,61,0,1993,1665,50,519,120,1201,852,392,624,0,0,0,0,0,6,2,8,0,7,9,0,3,3,6,4,0,0,14,19,12,20,28,34,26,28,0,90,91,0,23,2,111,34,3,8
10/5/2021,384,3,22,97,83,80,50,32,21,13,8,0,193,190,1,70,17,103,124,23,47,0,0,0,0,0,1,1,1,0,1,2,0,1,0,1,1,0,0,1,2,4,3,2,4,4,2,0,11,11,0,6,1,7,4,4,0
4/17/2021,438,6,60,70,98,96,78,46,24,14,12,0,237,201,0,133,25,162,80,11,27,0,0,0,2,2,1,0,1,0,1,5,0,1,1,4,0,0,0,1,6,3,11,12,6,10,11,0,33,27,0,14,2,34,8,1,1
5/5/2020,1090,58,156,53,206,206,217,206,125,50,27,0,564,525,1,599,18,190,129,39,115,0,1,1,1,0,10,17,28,0,27,31,0,17,5,21,14,0,1,1,12,14,18,37,34,23,17,0,74,82,0,62,7,57,24,6,0
3/16/2021,451,3,28,85,131,100,51,41,23,18,2,0,253,198,0,116,16,116,157,24,22,0,0,0,0,0,1,1,1,0,2,1,0,0,1,2,0,0,0,0,4,2,3,9,5,3,2,0,14,14,0,4,0,20,4,0,0
8/26/2021,595,3,45,99,139,135,77,54,39,35,17,0,318,276,1,121,28,178,164,13,91,0,0,0,0,1,0,0,2,0,2,1,0,1,0,2,0,0,0,2,1,5,5,6,10,11,5,0,25,20,0,7,0,22,13,0,3
11/22/2021,786,3,45,193,151,156,113,77,53,22,20,1,400,377,9,139,22,186,225,58,156,0,0,0,0,0,2,1,0,0,2,1,0,1,0,2,0,0,0,0,2,7,3,6,12,9,6,0,21,24,0,7,0,17,14,2,5
9/6/2021,281,4,25,71,67,53,41,17,21,7,4,0,139,141,1,56,10,83,83,8,41,0,0,1,0,0,0,3,0,0,2,2,0,1,0,2,1,0,0,3,3,3,1,4,8,0,3,0,16,9,0,5,1,14,3,0,2
7/30/2021,355,2,18,52,111,68,49,48,15,9,3,0,164,191,0,74,8,93,125,3,52,0,0,0,0,0,0,2,0,0,1,1,0,0,0,2,0,0,0,0,3,1,1,4,5,1,3,0,6,12,0,3,2,8,5,0,0
10/12/2020,682,4,37,69,180,119,123,91,59,31,10,0,322,356,4,243,28,108,201,35,67,0,0,0,1,1,0,2,0,0,2,2,0,3,0,1,0,0,0,0,3,3,7,7,7,7,3,0,15,22,0,9,2,12,11,0,3
9/11/2020,342,5,19,51,93,83,40,37,21,14,3,0,171,170,1,158,7,46,90,14,27,0,0,1,0,2,0,1,1,0,0,5,0,4,0,1,0,0,0,0,3,2,1,5,5,1,2,0,9,10,0,11,1,3,3,1,0
1/23/2021,588,9,55,71,120,135,86,80,53,30,13,0,304,284,0,216,30,111,154,27,50,0,0,0,0,1,2,2,4,0,2,7,0,2,1,4,2,0,0,0,3,6,2,2,13,19,10,0,30,25,0,17,2,26,7,2,1
9/28/2021,383,4,21,84,84,85,40,39,31,12,8,0,213,170,0,64,14,114,131,22,38,0,0,0,0,0,0,1,3,0,3,1,0,0,0,1,3,0,0,1,1,3,3,3,5,1,4,0,13,8,0,3,1,11,4,1,1
1/4/2022,9628,30,277,2589,1900,1706,1161,1078,681,319,179,15,5274,4257,97,2230,419,2037,2035,616,2291,0,0,0,2,3,5,8,12,0,18,12,0,6,0,16,8,0,0,13,31,25,22,47,46,41,52,0,166,111,0,62,3,129,57,10,16
9/29/2020,381,6,28,47,105,72,65,45,26,17,4,0,197,184,0,178,15,47,102,13,26,0,0,1,0,0,3,1,1,0,2,4,0,3,0,2,1,0,0,1,2,7,2,5,5,3,3,0,14,14,0,11,2,8,5,1,1
10/20/2020,1196,5,56,159,309,231,198,141,88,48,22,0,606,590,0,531,38,157,323,29,118,0,0,0,0,2,1,1,1,0,2,3,0,1,0,2,2,0,0,1,4,5,4,8,12,14,8,0,30,26,0,17,1,18,18,2,0
8/29/2020,234,4,25,24,73,37,41,25,22,12,0,0,128,106,0,109,7,28,65,6,19,0,0,0,0,1,1,1,1,0,2,2,0,1,1,0,2,0,0,2,2,4,2,3,5,7,0,0,11,14,0,12,0,8,5,0,0
3/14/2021,182,4,18,24,54,36,32,17,14,5,0,0,86,96,0,39,9,34,72,11,17,0,0,0,0,0,2,1,1,0,2,2,0,1,0,2,1,0,0,1,1,3,1,4,5,2,1,0,8,10,0,1,0,11,4,1,1
8/23/2020,130,1,26,10,43,17,23,15,12,8,2,0,71,59,0,41,3,28,46,4,8,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,5,2,5,5,3,4,2,0,10,16,0,11,0,7,6,2,0
3/4/2021,287,8,26,42,81,60,39,24,23,11,7,0,148,139,0,83,23,55,91,14,21,0,0,1,1,1,2,0,3,0,5,3,0,4,0,0,4,0,0,0,1,3,4,5,4,6,3,0,15,11,0,3,1,14,8,0,0
